salesdate,kind,sales,Adjusted
1-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",271443,N
2-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",261852,N
3-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",296113,N
4-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",293122,N
5-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",311454,N
6-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",302603,N
7-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",308099,N
8-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",306283,N
9-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",290483,N
10-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",301427,N
11-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",311225,N
12-1-2015,"Retail sales, total (excl. motor vehicle and parts dealers)",370077,N
1-1-2015,GAFO(1),90414,N
2-1-2015,GAFO(1),90578,N
3-1-2015,GAFO(1),101430,N
4-1-2015,GAFO(1),97465,N
5-1-2015,GAFO(1),105988,N
6-1-2015,GAFO(1),100182,N
7-1-2015,GAFO(1),102602,N
8-1-2015,GAFO(1),107975,N
9-1-2015,GAFO(1),98028,N
10-1-2015,GAFO(1),103560,N
11-1-2015,GAFO(1),114934,N
12-1-2015,GAFO(1),149506,N
1-1-2014,"Retail and food services sales, total",383488,N
2-1-2014,"Retail and food services sales, total",380454,N
3-1-2014,"Retail and food services sales, total",433052,N
4-1-2014,"Retail and food services sales, total",431598,N
5-1-2014,"Retail and food services sales, total",459441,N
6-1-2014,"Retail and food services sales, total",433458,N
7-1-2014,"Retail and food services sales, total",443498,N
8-1-2014,"Retail and food services sales, total",451663,N
9-1-2014,"Retail and food services sales, total",421628,N
10-1-2014,"Retail and food services sales, total",438697,N
11-1-2014,"Retail and food services sales, total",439344,N
12-1-2014,"Retail and food services sales, total",502208,N
1-1-2014,Retail sales and food services excl motor vehicle and parts,312728,N
2-1-2014,Retail sales and food services excl motor vehicle and parts,305069,N
3-1-2014,Retail sales and food services excl motor vehicle and parts,342056,N
4-1-2014,Retail sales and food services excl motor vehicle and parts,343146,N
5-1-2014,Retail sales and food services excl motor vehicle and parts,365685,N
6-1-2014,Retail sales and food services excl motor vehicle and parts,346247,N
7-1-2014,Retail sales and food services excl motor vehicle and parts,351692,N
8-1-2014,Retail sales and food services excl motor vehicle and parts,358476,N
9-1-2014,Retail sales and food services excl motor vehicle and parts,337729,N
10-1-2014,Retail sales and food services excl motor vehicle and parts,353803,N
11-1-2014,Retail sales and food services excl motor vehicle and parts,359831,N
12-1-2014,Retail sales and food services excl motor vehicle and parts,415070,N
1-1-2014,Retail sales and food services excl gasoline stations,340831,N
2-1-2014,Retail sales and food services excl gasoline stations,339775,N
3-1-2014,Retail sales and food services excl gasoline stations,386653,N
4-1-2014,Retail sales and food services excl gasoline stations,384227,N
5-1-2014,Retail sales and food services excl gasoline stations,408771,N
6-1-2014,Retail sales and food services excl gasoline stations,384744,N
7-1-2014,Retail sales and food services excl gasoline stations,393605,N
8-1-2014,Retail sales and food services excl gasoline stations,402212,N
9-1-2014,Retail sales and food services excl gasoline stations,375370,N
10-1-2014,Retail sales and food services excl gasoline stations,392449,N
11-1-2014,Retail sales and food services excl gasoline stations,398365,N
12-1-2014,Retail sales and food services excl gasoline stations,464463,N
1-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,270071,N
2-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,264390,N
3-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,295657,N
4-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,295775,N
5-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,315015,N
6-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,297533,N
7-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,301799,N
8-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,309025,N
9-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,291471,N
10-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,307555,N
11-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,318852,N
12-1-2014,Retail sales and food services excl motor vehicle and parts and gasoline stations,377325,N
1-1-2014,"Retail sales, total",340558,N
2-1-2014,"Retail sales, total",337558,N
3-1-2014,"Retail sales, total",383642,N
4-1-2014,"Retail sales, total",383895,N
5-1-2014,"Retail sales, total",408383,N
6-1-2014,"Retail sales, total",385557,N
7-1-2014,"Retail sales, total",394790,N
8-1-2014,"Retail sales, total",401546,N
9-1-2014,"Retail sales, total",374507,N
10-1-2014,"Retail sales, total",388493,N
11-1-2014,"Retail sales, total",391652,N
12-1-2014,"Retail sales, total",451346,N
1-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",269798,N
2-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",262173,N
3-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",292646,N
4-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",295443,N
5-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",314627,N
6-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",298346,N
7-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",302984,N
8-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",308359,N
9-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",290608,N
10-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",303599,N
11-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",312139,N
12-1-2014,"Retail sales, total (excl. motor vehicle and parts dealers)",364208,N
1-1-2014,GAFO(1),86320,N
2-1-2014,GAFO(1),89550,N
3-1-2014,GAFO(1),99364,N
4-1-2014,GAFO(1),97084,N
5-1-2014,GAFO(1),103916,N
6-1-2014,GAFO(1),97579,N
7-1-2014,GAFO(1),99412,N
8-1-2014,GAFO(1),107717,N
9-1-2014,GAFO(1),95736,N
10-1-2014,GAFO(1),101495,N
11-1-2014,GAFO(1),115706,N
12-1-2014,GAFO(1),147582,N
1-1-2013,"Retail and food services sales, total",375468,N
2-1-2013,"Retail and food services sales, total",373974,N
3-1-2013,"Retail and food services sales, total",421748,N
4-1-2013,"Retail and food services sales, total",408551,N
5-1-2013,"Retail and food services sales, total",437214,N
6-1-2013,"Retail and food services sales, total",414816,N
7-1-2013,"Retail and food services sales, total",422532,N
8-1-2013,"Retail and food services sales, total",435215,N
9-1-2013,"Retail and food services sales, total",396415,N
10-1-2013,"Retail and food services sales, total",415942,N
11-1-2013,"Retail and food services sales, total",424095,N
12-1-2013,"Retail and food services sales, total",477362,N
1-1-2013,Retail sales and food services excl motor vehicle and parts,306084,N
2-1-2013,Retail sales and food services excl motor vehicle and parts,300849,N
3-1-2013,Retail sales and food services excl motor vehicle and parts,337976,N
4-1-2013,Retail sales and food services excl motor vehicle and parts,326887,N
5-1-2013,Retail sales and food services excl motor vehicle and parts,350308,N
6-1-2013,Retail sales and food services excl motor vehicle and parts,332014,N
7-1-2013,Retail sales and food services excl motor vehicle and parts,336255,N
8-1-2013,Retail sales and food services excl motor vehicle and parts,346249,N
9-1-2013,Retail sales and food services excl motor vehicle and parts,320614,N
10-1-2013,Retail sales and food services excl motor vehicle and parts,336805,N
11-1-2013,Retail sales and food services excl motor vehicle and parts,348340,N
12-1-2013,Retail sales and food services excl motor vehicle and parts,398778,N
1-1-2013,Retail sales and food services excl gasoline stations,333706,N
2-1-2013,Retail sales and food services excl gasoline stations,331745,N
3-1-2013,Retail sales and food services excl gasoline stations,374018,N
4-1-2013,Retail sales and food services excl gasoline stations,361736,N
5-1-2013,Retail sales and food services excl gasoline stations,388019,N
6-1-2013,Retail sales and food services excl gasoline stations,366330,N
7-1-2013,Retail sales and food services excl gasoline stations,372707,N
8-1-2013,Retail sales and food services excl gasoline stations,385652,N
9-1-2013,Retail sales and food services excl gasoline stations,350343,N
10-1-2013,Retail sales and food services excl gasoline stations,369425,N
11-1-2013,Retail sales and food services excl gasoline stations,381698,N
12-1-2013,Retail sales and food services excl gasoline stations,434190,N
1-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,264322,N
2-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,258620,N
3-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,290246,N
4-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,280072,N
5-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,301113,N
6-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,283528,N
7-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,286430,N
8-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,296686,N
9-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,274542,N
10-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,290288,N
11-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,305943,N
12-1-2013,Retail sales and food services excl motor vehicle and parts and gasoline stations,355606,N
1-1-2013,"Retail sales, total",333663,N
2-1-2013,"Retail sales, total",332471,N
3-1-2013,"Retail sales, total",374171,N
4-1-2013,"Retail sales, total",362978,N
5-1-2013,"Retail sales, total",389709,N
6-1-2013,"Retail sales, total",369355,N
7-1-2013,"Retail sales, total",377031,N
8-1-2013,"Retail sales, total",388299,N
9-1-2013,"Retail sales, total",352749,N
10-1-2013,"Retail sales, total",369868,N
11-1-2013,"Retail sales, total",378800,N
12-1-2013,"Retail sales, total",430754,N
1-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",264279,N
2-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",259346,N
3-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",290399,N
4-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",281314,N
5-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",302803,N
6-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",286553,N
7-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",290754,N
8-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",299333,N
9-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",276948,N
10-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",290731,N
11-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",303045,N
12-1-2013,"Retail sales, total (excl. motor vehicle and parts dealers)",352170,N
1-1-2013,GAFO(1),86297,N
2-1-2013,GAFO(1),89304,N
3-1-2013,GAFO(1),100628,N
4-1-2013,GAFO(1),92422,N
5-1-2013,GAFO(1),100605,N
6-1-2013,GAFO(1),96807,N
7-1-2013,GAFO(1),96603,N
8-1-2013,GAFO(1),104854,N
9-1-2013,GAFO(1),93006,N
10-1-2013,GAFO(1),98325,N
11-1-2013,GAFO(1),112537,N
12-1-2013,GAFO(1),142384,N
1-1-2012,"Retail and food services sales, total",355184,N
2-1-2012,"Retail and food services sales, total",372401,N
3-1-2012,"Retail and food services sales, total",414149,N
4-1-2012,"Retail and food services sales, total",392949,N
5-1-2012,"Retail and food services sales, total",418608,N
6-1-2012,"Retail and food services sales, total",400975,N
7-1-2012,"Retail and food services sales, total",396026,N
8-1-2012,"Retail and food services sales, total",417922,N
9-1-2012,"Retail and food services sales, total",385609,N
10-1-2012,"Retail and food services sales, total",399400,N
11-1-2012,"Retail and food services sales, total",411065,N
12-1-2012,"Retail and food services sales, total",462102,N
1-1-2012,Retail sales and food services excl motor vehicle and parts,292916,N
2-1-2012,Retail sales and food services excl motor vehicle and parts,302072,N
3-1-2012,Retail sales and food services excl motor vehicle and parts,332992,N
4-1-2012,Retail sales and food services excl motor vehicle and parts,319458,N
5-1-2012,Retail sales and food services excl motor vehicle and parts,338812,N
6-1-2012,Retail sales and food services excl motor vehicle and parts,325021,N
7-1-2012,Retail sales and food services excl motor vehicle and parts,320787,N
8-1-2012,Retail sales and food services excl motor vehicle and parts,337194,N
9-1-2012,Retail sales and food services excl motor vehicle and parts,314291,N
10-1-2012,Retail sales and food services excl motor vehicle and parts,327099,N
11-1-2012,Retail sales and food services excl motor vehicle and parts,341371,N
12-1-2012,Retail sales and food services excl motor vehicle and parts,387883,N
1-1-2012,Retail sales and food services excl gasoline stations,313778,N
2-1-2012,Retail sales and food services excl gasoline stations,330183,N
3-1-2012,Retail sales and food services excl gasoline stations,365752,N
4-1-2012,Retail sales and food services excl gasoline stations,345285,N
5-1-2012,Retail sales and food services excl gasoline stations,369410,N
6-1-2012,Retail sales and food services excl gasoline stations,354492,N
7-1-2012,Retail sales and food services excl gasoline stations,349368,N
8-1-2012,Retail sales and food services excl gasoline stations,367727,N
9-1-2012,Retail sales and food services excl gasoline stations,338408,N
10-1-2012,Retail sales and food services excl gasoline stations,350417,N
11-1-2012,Retail sales and food services excl gasoline stations,366631,N
12-1-2012,Retail sales and food services excl gasoline stations,419520,N
1-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,251510,N
2-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,259854,N
3-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,284595,N
4-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,271794,N
5-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,289614,N
6-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,278538,N
7-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,274129,N
8-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,286999,N
9-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,267090,N
10-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,278116,N
11-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,296937,N
12-1-2012,Retail sales and food services excl motor vehicle and parts and gasoline stations,345301,N
1-1-2012,"Retail sales, total",315540,N
2-1-2012,"Retail sales, total",331470,N
3-1-2012,"Retail sales, total",368502,N
4-1-2012,"Retail sales, total",349194,N
5-1-2012,"Retail sales, total",373129,N
6-1-2012,"Retail sales, total",356083,N
7-1-2012,"Retail sales, total",351520,N
8-1-2012,"Retail sales, total",372986,N
9-1-2012,"Retail sales, total",342582,N
10-1-2012,"Retail sales, total",355823,N
11-1-2012,"Retail sales, total",368593,N
12-1-2012,"Retail sales, total",416807,N
1-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",253272,N
2-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",261141,N
3-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",287345,N
4-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",275703,N
5-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",293333,N
6-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",280129,N
7-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",276281,N
8-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",292258,N
9-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",271264,N
10-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",283522,N
11-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",298899,N
12-1-2012,"Retail sales, total (excl. motor vehicle and parts dealers)",342588,N
1-1-2012,GAFO(1),83395,N
2-1-2012,GAFO(1),91209,N
3-1-2012,GAFO(1),98747,N
4-1-2012,GAFO(1),91719,N
5-1-2012,GAFO(1),97833,N
6-1-2012,GAFO(1),95541,N
7-1-2012,GAFO(1),93547,N
8-1-2012,GAFO(1),101703,N
9-1-2012,GAFO(1),91915,N
10-1-2012,GAFO(1),93919,N
11-1-2012,GAFO(1),109571,N
12-1-2012,GAFO(1),142744,N
1-1-2011,"Retail and food services sales, total",335587,N
2-1-2011,"Retail and food services sales, total",337314,N
3-1-2011,"Retail and food services sales, total",387088,N
4-1-2011,"Retail and food services sales, total",380775,N
5-1-2011,"Retail and food services sales, total",391999,N
6-1-2011,"Retail and food services sales, total",388700,N
7-1-2011,"Retail and food services sales, total",384682,N
8-1-2011,"Retail and food services sales, total",394609,N
9-1-2011,"Retail and food services sales, total",375025,N
10-1-2011,"Retail and food services sales, total",379482,N
11-1-2011,"Retail and food services sales, total",391220,N
12-1-2011,"Retail and food services sales, total",451821,N
1-1-2011,Retail sales and food services excl motor vehicle and parts,277706,N
2-1-2011,Retail sales and food services excl motor vehicle and parts,274739,N
3-1-2011,Retail sales and food services excl motor vehicle and parts,311920,N
4-1-2011,Retail sales and food services excl motor vehicle and parts,311233,N
5-1-2011,Retail sales and food services excl motor vehicle and parts,322722,N
6-1-2011,Retail sales and food services excl motor vehicle and parts,318499,N
7-1-2011,Retail sales and food services excl motor vehicle and parts,315504,N
8-1-2011,Retail sales and food services excl motor vehicle and parts,323314,N
9-1-2011,Retail sales and food services excl motor vehicle and parts,308069,N
10-1-2011,Retail sales and food services excl motor vehicle and parts,313569,N
11-1-2011,Retail sales and food services excl motor vehicle and parts,327252,N
12-1-2011,Retail sales and food services excl motor vehicle and parts,380837,N
1-1-2011,Retail sales and food services excl gasoline stations,297569,N
2-1-2011,Retail sales and food services excl gasoline stations,300645,N
3-1-2011,Retail sales and food services excl gasoline stations,342739,N
4-1-2011,Retail sales and food services excl gasoline stations,334922,N
5-1-2011,Retail sales and food services excl gasoline stations,343754,N
6-1-2011,Retail sales and food services excl gasoline stations,341186,N
7-1-2011,Retail sales and food services excl gasoline stations,336482,N
8-1-2011,Retail sales and food services excl gasoline stations,346289,N
9-1-2011,Retail sales and food services excl gasoline stations,329582,N
10-1-2011,Retail sales and food services excl gasoline stations,334367,N
11-1-2011,Retail sales and food services excl gasoline stations,348244,N
12-1-2011,Retail sales and food services excl gasoline stations,409066,N
1-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,239688,N
2-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,238070,N
3-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,267571,N
4-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,265380,N
5-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,274477,N
6-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,270985,N
7-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,267304,N
8-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,274994,N
9-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,262626,N
10-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,268454,N
11-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,284276,N
12-1-2011,Retail sales and food services excl motor vehicle and parts and gasoline stations,338082,N
1-1-2011,"Retail sales, total",298626,N
2-1-2011,"Retail sales, total",299920,N
3-1-2011,"Retail sales, total",345052,N
4-1-2011,"Retail sales, total",339014,N
5-1-2011,"Retail sales, total",348979,N
6-1-2011,"Retail sales, total",346620,N
7-1-2011,"Retail sales, total",341381,N
8-1-2011,"Retail sales, total",352224,N
9-1-2011,"Retail sales, total",333642,N
10-1-2011,"Retail sales, total",337067,N
11-1-2011,"Retail sales, total",351517,N
12-1-2011,"Retail sales, total",408910,N
1-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",240745,N
2-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",237345,N
3-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",269884,N
4-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",269472,N
5-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",279702,N
6-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",276419,N
7-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",272203,N
8-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",280929,N
9-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",266686,N
10-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",271154,N
11-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",287549,N
12-1-2011,"Retail sales, total (excl. motor vehicle and parts dealers)",337926,N
1-1-2011,GAFO(1),80468,N
2-1-2011,GAFO(1),83815,N
3-1-2011,GAFO(1),92506,N
4-1-2011,GAFO(1),91906,N
5-1-2011,GAFO(1),93667,N
6-1-2011,GAFO(1),92488,N
7-1-2011,GAFO(1),92485,N
8-1-2011,GAFO(1),97416,N
9-1-2011,GAFO(1),90746,N
10-1-2011,GAFO(1),92528,N
11-1-2011,GAFO(1),106010,N
12-1-2011,GAFO(1),141631,N
1-1-2010,"Retail and food services sales, total",314557,N
2-1-2010,"Retail and food services sales, total",310925,N
3-1-2010,"Retail and food services sales, total",360679,N
4-1-2010,"Retail and food services sales, total",356333,N
5-1-2010,"Retail and food services sales, total",365605,N
6-1-2010,"Retail and food services sales, total",358604,N
7-1-2010,"Retail and food services sales, total",361939,N
8-1-2010,"Retail and food services sales, total",362627,N
9-1-2010,"Retail and food services sales, total",345999,N
10-1-2010,"Retail and food services sales, total",355209,N
11-1-2010,"Retail and food services sales, total",365828,N
12-1-2010,"Retail and food services sales, total",426663,N
1-1-2010,Retail sales and food services excl motor vehicle and parts,264687,N
2-1-2010,Retail sales and food services excl motor vehicle and parts,259103,N
3-1-2010,Retail sales and food services excl motor vehicle and parts,293231,N
4-1-2010,Retail sales and food services excl motor vehicle and parts,291965,N
5-1-2010,Retail sales and food services excl motor vehicle and parts,300362,N
6-1-2010,Retail sales and food services excl motor vehicle and parts,293904,N
7-1-2010,Retail sales and food services excl motor vehicle and parts,294933,N
8-1-2010,Retail sales and food services excl motor vehicle and parts,296553,N
9-1-2010,Retail sales and food services excl motor vehicle and parts,284345,N
10-1-2010,Retail sales and food services excl motor vehicle and parts,293823,N
11-1-2010,Retail sales and food services excl motor vehicle and parts,306998,N
12-1-2010,Retail sales and food services excl motor vehicle and parts,362151,N
1-1-2010,Retail sales and food services excl gasoline stations,280412,N
2-1-2010,Retail sales and food services excl gasoline stations,279037,N
3-1-2010,Retail sales and food services excl gasoline stations,323445,N
4-1-2010,Retail sales and food services excl gasoline stations,318036,N
5-1-2010,Retail sales and food services excl gasoline stations,326437,N
6-1-2010,Retail sales and food services excl gasoline stations,320396,N
7-1-2010,Retail sales and food services excl gasoline stations,322885,N
8-1-2010,Retail sales and food services excl gasoline stations,324086,N
9-1-2010,Retail sales and food services excl gasoline stations,308829,N
10-1-2010,Retail sales and food services excl gasoline stations,316729,N
11-1-2010,Retail sales and food services excl gasoline stations,328755,N
12-1-2010,Retail sales and food services excl gasoline stations,387572,N
1-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,230542,N
2-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,227215,N
3-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,255997,N
4-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,253668,N
5-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,261194,N
6-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,255696,N
7-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,255879,N
8-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,258012,N
9-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,247175,N
10-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,255343,N
11-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,269925,N
12-1-2010,Retail sales and food services excl motor vehicle and parts and gasoline stations,323060,N
1-1-2010,"Retail sales, total",279044,N
2-1-2010,"Retail sales, total",275566,N
3-1-2010,"Retail sales, total",321305,N
4-1-2010,"Retail sales, total",316940,N
5-1-2010,"Retail sales, total",324820,N
6-1-2010,"Retail sales, total",319183,N
7-1-2010,"Retail sales, total",320915,N
8-1-2010,"Retail sales, total",322319,N
9-1-2010,"Retail sales, total",307638,N
10-1-2010,"Retail sales, total",315059,N
11-1-2010,"Retail sales, total",328381,N
12-1-2010,"Retail sales, total",386878,N
1-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",229174,N
2-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",223744,N
3-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",253857,N
4-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",252572,N
5-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",259577,N
6-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",254483,N
7-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",253909,N
8-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",256245,N
9-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",245984,N
10-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",253673,N
11-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",269551,N
12-1-2010,"Retail sales, total (excl. motor vehicle and parts dealers)",322366,N
1-1-2010,GAFO(1),79913,N
2-1-2010,GAFO(1),81419,N
3-1-2010,GAFO(1),89806,N
4-1-2010,GAFO(1),86903,N
5-1-2010,GAFO(1),91304,N
6-1-2010,GAFO(1),88173,N
7-1-2010,GAFO(1),89423,N
8-1-2010,GAFO(1),93182,N
9-1-2010,GAFO(1),85680,N
10-1-2010,GAFO(1),89244,N
11-1-2010,GAFO(1),102647,N
12-1-2010,GAFO(1),136680,N
1-1-2009,"Retail and food services sales, total",310188,N
2-1-2009,"Retail and food services sales, total",299412,N
3-1-2009,"Retail and food services sales, total",328526,N
4-1-2009,"Retail and food services sales, total",329854,N
5-1-2009,"Retail and food services sales, total",347728,N
6-1-2009,"Retail and food services sales, total",344405,N
7-1-2009,"Retail and food services sales, total",348071,N
8-1-2009,"Retail and food services sales, total",353392,N
9-1-2009,"Retail and food services sales, total",324646,N
10-1-2009,"Retail and food services sales, total",338610,N
11-1-2009,"Retail and food services sales, total",339363,N
12-1-2009,"Retail and food services sales, total",400281,N
1-1-2009,Retail sales and food services excl motor vehicle and parts,260095,N
2-1-2009,Retail sales and food services excl motor vehicle and parts,249406,N
3-1-2009,Retail sales and food services excl motor vehicle and parts,271393,N
4-1-2009,Retail sales and food services excl motor vehicle and parts,273915,N
5-1-2009,Retail sales and food services excl motor vehicle and parts,289996,N
6-1-2009,Retail sales and food services excl motor vehicle and parts,284883,N
7-1-2009,Retail sales and food services excl motor vehicle and parts,285771,N
8-1-2009,Retail sales and food services excl motor vehicle and parts,287210,N
9-1-2009,Retail sales and food services excl motor vehicle and parts,272523,N
10-1-2009,Retail sales and food services excl motor vehicle and parts,283744,N
11-1-2009,Retail sales and food services excl motor vehicle and parts,289339,N
12-1-2009,Retail sales and food services excl motor vehicle and parts,344429,N
1-1-2009,Retail sales and food services excl gasoline stations,283647,N
2-1-2009,Retail sales and food services excl gasoline stations,273792,N
3-1-2009,Retail sales and food services excl gasoline stations,300076,N
4-1-2009,Retail sales and food services excl gasoline stations,300417,N
5-1-2009,Retail sales and food services excl gasoline stations,314770,N
6-1-2009,Retail sales and food services excl gasoline stations,308460,N
7-1-2009,Retail sales and food services excl gasoline stations,311732,N
8-1-2009,Retail sales and food services excl gasoline stations,316412,N
9-1-2009,Retail sales and food services excl gasoline stations,290298,N
10-1-2009,Retail sales and food services excl gasoline stations,303585,N
11-1-2009,Retail sales and food services excl gasoline stations,305021,N
12-1-2009,Retail sales and food services excl gasoline stations,365032,N
1-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,233554,N
2-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,223786,N
3-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,242943,N
4-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,244478,N
