salesdate,kind,sales,Adjusted
3-1-2019,Retail sales and food services excl motor vehicle and parts,403490,N
4-1-2019,Retail sales and food services excl motor vehicle and parts,403550,N
5-1-2019,Retail sales and food services excl motor vehicle and parts,432418,N
6-1-2019,Retail sales and food services excl motor vehicle and parts,410619,N
7-1-2019,Retail sales and food services excl motor vehicle and parts,419527,N
8-1-2019,Retail sales and food services excl motor vehicle and parts,427360,N
9-1-2019,Retail sales and food services excl motor vehicle and parts,393464,N
10-1-2019,Retail sales and food services excl motor vehicle and parts,418339,N
11-1-2019,Retail sales and food services excl motor vehicle and parts,430888,N
12-1-2019,Retail sales and food services excl motor vehicle and parts,483860,N
1-1-2019,Retail sales and food services excl gasoline stations,420099,N
2-1-2019,Retail sales and food services excl gasoline stations,406760,N
3-1-2019,Retail sales and food services excl gasoline stations,471780,N
4-1-2019,Retail sales and food services excl gasoline stations,462650,N
5-1-2019,Retail sales and food services excl gasoline stations,496816,N
6-1-2019,Retail sales and food services excl gasoline stations,470393,N
7-1-2019,Retail sales and food services excl gasoline stations,482318,N
8-1-2019,Retail sales and food services excl gasoline stations,496002,N
9-1-2019,Retail sales and food services excl gasoline stations,450325,N
10-1-2019,Retail sales and food services excl gasoline stations,477847,N
11-1-2019,Retail sales and food services excl gasoline stations,490706,N
12-1-2019,Retail sales and food services excl gasoline stations,546509,N
1-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,332210,N
2-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,317137,N
3-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,361425,N
4-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,359280,N
5-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,385031,N
6-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,365743,N
7-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,373135,N
8-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,381411,N
9-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,350713,N
10-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,373991,N
11-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,389464,N
12-1-2019,Retail sales and food services excl motor vehicle and parts and gasoline stations,442898,N
1-1-2019,"Retail sales, total",399461,N
2-1-2019,"Retail sales, total",384967,N
3-1-2019,"Retail sales, total",447155,N
4-1-2019,"Retail sales, total",442921,N
5-1-2019,"Retail sales, total",475897,N
6-1-2019,"Retail sales, total",448595,N
7-1-2019,"Retail sales, total",462097,N
8-1-2019,"Retail sales, total",473482,N
9-1-2019,"Retail sales, total",429556,N
10-1-2019,"Retail sales, total",456436,N
11-1-2019,"Retail sales, total",469003,N
12-1-2019,"Retail sales, total",521467,N
1-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",311572,N
2-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",295344,N
3-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",336800,N
4-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",339551,N
5-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",364112,N
6-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",343945,N
7-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",352914,N
8-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",358891,N
9-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",329944,N
10-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",352580,N
11-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",367761,N
12-1-2019,"Retail sales, total (excl. motor vehicle and parts dealers)",417856,N
1-1-2019,GAFO(1),91540,N
2-1-2019,GAFO(1),90967,N
3-1-2019,GAFO(1),106564,N
4-1-2019,GAFO(1),102978,N
5-1-2019,GAFO(1),110415,N
6-1-2019,GAFO(1),105867,N
7-1-2019,GAFO(1),107090,N
8-1-2019,GAFO(1),114131,N
9-1-2019,GAFO(1),100240,N
10-1-2019,GAFO(1),106921,N
11-1-2019,GAFO(1),121457,N
12-1-2019,GAFO(1),147773,N
1-1-2018,"Retail and food services sales, total",444286,N
2-1-2018,"Retail and food services sales, total",435373,N
3-1-2018,"Retail and food services sales, total",508383,N
4-1-2018,"Retail and food services sales, total",480373,N
5-1-2018,"Retail and food services sales, total",527991,N
6-1-2018,"Retail and food services sales, total",507106,N
7-1-2018,"Retail and food services sales, total",505209,N
8-1-2018,"Retail and food services sales, total",520544,N
9-1-2018,"Retail and food services sales, total",477137,N
10-1-2018,"Retail and food services sales, total",503602,N
11-1-2018,"Retail and food services sales, total",518457,N
12-1-2018,"Retail and food services sales, total",556614,N
1-1-2018,Retail sales and food services excl motor vehicle and parts,356043,N
2-1-2018,Retail sales and food services excl motor vehicle and parts,345645,N
3-1-2018,Retail sales and food services excl motor vehicle and parts,398623,N
4-1-2018,Retail sales and food services excl motor vehicle and parts,380907,N
5-1-2018,Retail sales and food services excl motor vehicle and parts,418752,N
6-1-2018,Retail sales and food services excl motor vehicle and parts,402227,N
7-1-2018,Retail sales and food services excl motor vehicle and parts,401379,N
8-1-2018,Retail sales and food services excl motor vehicle and parts,412163,N
9-1-2018,Retail sales and food services excl motor vehicle and parts,381171,N
10-1-2018,Retail sales and food services excl motor vehicle and parts,404569,N
11-1-2018,Retail sales and food services excl motor vehicle and parts,423227,N
12-1-2018,Retail sales and food services excl motor vehicle and parts,455566,N
1-1-2018,Retail sales and food services excl gasoline stations,405332,N
2-1-2018,Retail sales and food services excl gasoline stations,398494,N
3-1-2018,Retail sales and food services excl gasoline stations,466197,N
4-1-2018,Retail sales and food services excl gasoline stations,437800,N
5-1-2018,Retail sales and food services excl gasoline stations,480549,N
6-1-2018,Retail sales and food services excl gasoline stations,460356,N
7-1-2018,Retail sales and food services excl gasoline stations,458120,N
8-1-2018,Retail sales and food services excl gasoline stations,472671,N
9-1-2018,Retail sales and food services excl gasoline stations,432695,N
10-1-2018,Retail sales and food services excl gasoline stations,456531,N
11-1-2018,Retail sales and food services excl gasoline stations,476440,N
12-1-2018,Retail sales and food services excl gasoline stations,518437,N
1-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,317089,N
2-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,308766,N
3-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,356437,N
4-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,338334,N
5-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,371310,N
6-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,355477,N
7-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,354290,N
8-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,364290,N
9-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,336729,N
10-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,357498,N
11-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,381210,N
12-1-2018,Retail sales and food services excl motor vehicle and parts and gasoline stations,417389,N
1-1-2018,"Retail sales, total",389808,N
2-1-2018,"Retail sales, total",380671,N
3-1-2018,"Retail sales, total",444994,N
4-1-2018,"Retail sales, total",420245,N
5-1-2018,"Retail sales, total",464050,N
6-1-2018,"Retail sales, total",443577,N
7-1-2018,"Retail sales, total",441767,N
8-1-2018,"Retail sales, total",456030,N
9-1-2018,"Retail sales, total",417172,N
10-1-2018,"Retail sales, total",441878,N
11-1-2018,"Retail sales, total",459319,N
12-1-2018,"Retail sales, total",493526,N
1-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",301565,N
2-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",290943,N
3-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",335234,N
4-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",320779,N
5-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",354811,N
6-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",338698,N
7-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",337937,N
8-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",347649,N
